iter	Passed	Remaining
0	9	2860
1	17	2543
2	25	2511
3	33	2503
4	41	2430
5	49	2449
6	57	2418
7	65	2386
8	72	2357
9	80	2334
10	87	2297
11	94	2265
12	101	2248
13	109	2233
14	116	2216
15	124	2201
16	131	2190
17	139	2178
18	147	2178
19	155	2174
20	163	2175
21	172	2177
22	179	2166
23	187	2154
24	194	2139
25	201	2122
26	209	2115
27	216	2102
28	223	2089
29	230	2074
30	238	2066
31	245	2052
32	252	2042
33	259	2030
34	266	2018
35	274	2009
36	281	2000
37	288	1990
38	297	1989
39	304	1977
40	311	1966
41	318	1956
42	326	1949
43	334	1945
44	342	1939
45	349	1930
46	357	1922
47	364	1913
48	372	1905
49	379	1897
50	386	1887
51	393	1877
52	400	1867
53	408	1859
54	415	1851
55	422	1842
56	429	1831
57	437	1824
58	444	1815
59	451	1807
60	458	1798
61	466	1791
62	473	1782
63	481	1774
64	488	1765
65	496	1759
66	503	1749
67	510	1743
68	518	1736
69	526	1728
70	533	1720
71	541	1714
72	548	1706
73	556	1699
74	563	1690
75	571	1683
76	578	1675
77	586	1668
78	593	1659
79	600	1651
80	607	1642
81	615	1635
82	622	1626
83	629	1618
84	636	1610
85	644	1604
86	652	1596
87	659	1588
88	666	1580
89	673	1572
90	681	1564
91	688	1556
92	695	1548
93	702	1540
94	709	1531
95	716	1523
96	724	1516
97	731	1508
98	739	1501
99	746	1493
100	754	1486
101	762	1479
102	769	1471
103	776	1463
104	783	1455
105	791	1447
106	797	1439
107	804	1431
108	812	1423
109	819	1415
110	826	1407
111	833	1399
112	840	1391
113	847	1383
114	854	1375
115	862	1368
116	869	1360
117	877	1353
118	884	1345
119	891	1337
120	899	1330
121	905	1321
122	913	1313
123	920	1306
124	928	1299
125	935	1292
126	942	1284
127	950	1277
128	957	1269
129	965	1262
130	973	1255
131	980	1247
132	987	1239
133	994	1232
134	1001	1224
135	1008	1216
136	1016	1209
137	1023	1201
138	1030	1193
139	1037	1186
140	1045	1178
141	1052	1171
142	1060	1163
143	1067	1155
144	1075	1149
145	1083	1142
146	1091	1136
147	1099	1129
148	1107	1122
149	1117	1117
150	1126	1111
151	1134	1105
152	1143	1098
153	1152	1092
154	1161	1086
155	1170	1080
156	1180	1075
157	1189	1069
158	1198	1062
159	1207	1056
160	1216	1049
161	1226	1044
162	1234	1037
163	1243	1031
164	1251	1024
165	1260	1017
166	1269	1011
167	1278	1004
168	1288	998
169	1296	991
170	1304	984
171	1312	976
172	1320	969
173	1328	962
174	1337	955
175	1345	948
176	1353	940
177	1362	934
178	1370	926
179	1380	920
180	1389	913
181	1397	906
182	1406	898
183	1414	891
184	1422	884
185	1430	876
186	1438	869
187	1446	861
188	1454	854
189	1462	846
190	1470	839
191	1478	831
192	1486	824
193	1494	816
194	1502	809
195	1510	801
196	1519	794
197	1527	786
198	1535	779
199	1543	771
200	1551	764
201	1559	756
202	1567	748
203	1575	741
204	1583	734
205	1592	726
206	1599	718
207	1608	711
208	1616	703
209	1624	696
210	1634	689
211	1643	682
212	1651	674
213	1661	667
214	1670	660
215	1678	652
216	1687	645
217	1695	637
218	1703	630
219	1712	622
220	1720	615
221	1729	607
222	1738	600
223	1746	592
224	1755	585
225	1764	577
226	1772	570
227	1781	562
228	1790	555
229	1808	550
230	1817	542
231	1826	535
232	1834	527
233	1843	519
234	1851	512
235	1860	504
236	1869	496
237	1877	489
238	1885	481
239	1894	473
240	1902	465
241	1911	458
242	1919	450
243	1928	442
244	1935	434
245	1943	426
246	1950	418
247	1958	410
248	1966	402
249	1973	394
250	1980	386
251	1988	378
252	1996	370
253	2004	362
254	2011	354
255	2018	346
256	2026	338
257	2033	331
258	2040	323
259	2047	314
260	2054	307
261	2062	299
262	2070	291
263	2076	283
264	2083	275
265	2090	267
266	2098	259
267	2105	251
268	2113	243
269	2120	235
270	2128	227
271	2135	219
272	2143	211
273	2150	204
274	2157	196
275	2164	188
276	2172	180
277	2179	172
278	2186	164
279	2194	156
280	2202	148
281	2209	141
282	2216	133
283	2224	125
284	2232	117
285	2240	109
286	2247	101
287	2255	93
288	2263	86
289	2271	78
290	2279	70
291	2287	62
292	2294	54
293	2302	46
294	2310	39
295	2317	31
296	2325	23
297	2333	15
298	2341	7
299	2348	0
